 Óbitos infantis - Brasil
Óbitos p/Residênc por Município
Período:2018
"Município";"Óbitos_p/Residênc"
"150563 Piçarra";5
"150565 Placas";2
"150570 Ponta de Pedras";7
"150580 Portel";21
"150590 Porto de Moz";12
"150600 Prainha";12
"150610 Primavera";3
"150611 Quatipuru";3
"150613 Redenção";23
"150616 Rio Maria";6
"150618 Rondon do Pará";11
"150619 Rurópolis";3
"150620 Salinópolis";11
"150630 Salvaterra";5
"150635 Santa Bárbara do Pará";6
"150640 Santa Cruz do Arari";1
"150650 Santa Izabel do Pará";12
"150655 Santa Luzia do Pará";4
"150658 Santa Maria das Barreiras";4
"150660 Santa Maria do Pará";3
"150670 Santana do Araguaia";4
"150680 Santarém";146
"150690 Santarém Novo";2
"150700 Santo Antônio do Tauá";7
"150710 São Caetano de Odivelas";1
"150715 São Domingos do Araguaia";8
"150720 São Domingos do Capim";6
"150730 São Félix do Xingu";27
"150740 São Francisco do Pará";5
"150745 São Geraldo do Araguaia";6
"150747 São João de Pirabas";3
"150750 São João do Araguaia";3
"150760 São Miguel do Guamá";13
"150770 São Sebastião da Boa Vista";5
"150775 Sapucaia";2
"150780 Senador José Porfírio";4
"150790 Soure";4
"150795 Tailândia";17
"150796 Terra Alta";2
"150797 Terra Santa";5
"150800 Tomé-Açu";17
"150803 Tracuateua";12
"150805 Trairão";4
"150808 Tucumã";11
"150810 Tucuruí";23
"150812 Ulianópolis";3
"150815 Uruará";10
"150820 Vigia";4
"150830 Viseu";18
"150835 Vitória do Xingu";10
"150840 Xinguara";13
"150000 Município ignorado - PA";1
"160010 Amapá";3
"160020 Calçoene";3
"160021 Cutias";1
"160023 Ferreira Gomes";2
"160025 Itaubal";2
"160027 Laranjal do Jari";11
"160030 Macapá";200
"160040 Mazagão";10
"160050 Oiapoque";14
"160015 Pedra Branca do Amapari";3
"160053 Porto Grande";4
"160060 Santana";29
"160070 Tartarugalzinho";3
"160080 Vitória do Jari";9
"170030 Aguiarnópolis";1
"170035 Aliança do Tocantins";1
"170040 Almas";1
"170070 Alvorada";2
"170100 Ananás";3
"170110 Aparecida do Rio Negro";2
"170130 Aragominas";1
"170190 Araguacema";1
"170210 Araguaína";53
"170215 Araguanã";2
"170220 Araguatins";6
"170230 Arapoema";1
"170240 Arraias";4
"170255 Augustinópolis";6
"170270 Aurora do Tocantins";1
"170290 Axixá do Tocantins";2
"170307 Barra do Ouro";2
"170389 Carrasco Bonito";3
"170390 Caseara";1
"170550 Colinas do Tocantins";5
"170555 Combinado";2
"170625 Crixás do Tocantins";1
"170700 Dianópolis";6
"170710 Divinópolis do Tocantins";1
"170740 Esperantina";5
"170770 Filadélfia";2
"170820 Formoso do Araguaia";5
"170825 Fortaleza do Tabocão";2
"170900 Goiatins";3
"170930 Guaraí";7
"170950 Gurupi";17
"171050 Itacajá";5
"171070 Itaguatins";1
"171110 Itaporã do Tocantins";1
"171180 Juarina";1
"171190 Lagoa da Confusão";4
"171195 Lagoa do Tocantins";1
"171200 Lajeado";1
"171240 Lizarda";1
"171245 Luzinópolis";1
"171270 Mateiros";1
"171320 Miracema do Tocantins";6
"171330 Miranorte";1
"171360 Monte do Carmo";1
"171370 Monte Santo do Tocantins";1
"171420 Natividade";1
"171488 Nova Olinda";4
"171500 Nova Rosalândia";1
"171510 Novo Acordo";1
"172100 Palmas";58
"171570 Palmeirante";1
"171610 Paraíso do Tocantins";7
"171620 Paranã";4
"171650 Pedro Afonso";3
"171660 Peixe";1
"171665 Pequizeiro";1
"171700 Pindorama do Tocantins";2
"171750 Pium";2
"171780 Ponte Alta do Bom Jesus";3
"171790 Ponte Alta do Tocantins";1
"171800 Porto Alegre do Tocantins";1
"171820 Porto Nacional";20
"171870 Rio dos Bois";1
"171875 Rio Sono";2
"171880 Sampaio";5
"171884 Sandolândia";1
"171886 Santa Fé do Araguaia";3
"171888 Santa Maria do Tocantins";1
"171889 Santa Rita do Tocantins";1
"171890 Santa Rosa do Tocantins";3
"172020 São Miguel do Tocantins";1
"172025 São Salvador do Tocantins";1
"172049 São Valério";1
"172065 Silvanópolis";3
"172080 Sítio Novo do Tocantins";1
"172093 Taipas do Tocantins";1
"172110 Tocantínia";1
"172120 Tocantinópolis";4
"172208 Wanderlândia";5
"172210 Xambioá";1
"170000 Município ignorado - TO";1
"210005 Açailândia";27
"210010 Afonso Cunha";2
"210015 Água Doce do Maranhão";4
"210020 Alcântara";2
"210030 Aldeias Altas";4
"210043 Alto Alegre do Maranhão";4
"210047 Alto Alegre do Pindaré";5
"210050 Alto Parnaíba";4
"210055 Amapá do Maranhão";1
"210060 Amarante do Maranhão";16
"210070 Anajatuba";5
"210080 Anapurus";5
"210083 Apicum-Açu";5
"210087 Araguanã";1
"210090 Araioses";8
"210095 Arame";18
"210100 Arari";6
"210110 Axixá";3
"210120 Bacabal";17
"210125 Bacabeira";2
"210130 Bacuri";1
"210135 Bacurituba";1
"210140 Balsas";41
"210150 Barão de Grajaú";2
"210160 Barra do Corda";32
"210170 Barreirinhas";22
"210177 Bela Vista do Maranhão";4
"210173 Belágua";2
"210180 Benedito Leite";1
"210190 Bequimão";6
"210197 Boa Vista do Gurupi";2
"210200 Bom Jardim";11
"210203 Bom Jesus das Selvas";11
"210207 Bom Lugar";2
"210210 Brejo";6
"210215 Brejo de Areia";4
"210220 Buriti";10
"210230 Buriti Bravo";5
"210232 Buriticupu";17
"210235 Buritirana";4
"210237 Cachoeira Grande";2
"210240 Cajapió";1
"210250 Cajari";2
"210255 Campestre do Maranhão";5
"210270 Cantanhede";4
"210275 Capinzal do Norte";4
"210280 Carolina";8
"210290 Carutapera";4
"210300 Caxias";28
"210310 Cedral";1
"210312 Central do Maranhão";4
"210315 Centro do Guilherme";3
"210317 Centro Novo do Maranhão";3
"210320 Chapadinha";20
"210325 Cidelândia";6
"210330 Codó";28
"210340 Coelho Neto";12
"210350 Colinas";9
"210355 Conceição do Lago-Açu";3
"210360 Coroatá";8
"210370 Cururupu";17
"210375 Davinópolis";2
"210380 Dom Pedro";6
"210390 Duque Bacelar";2
"210400 Esperantinópolis";1
"210405 Estreito";12
"210407 Feira Nova do Maranhão";2
"210408 Fernando Falcão";8
"210409 Formosa da Serra Negra";3
"210410 Fortaleza dos Nogueiras";4
"210420 Fortuna";2
"210430 Godofredo Viana";2
"210440 Gonçalves Dias";3
"210450 Governador Archer";1
"210455 Governador Edison Lobão";3
"210460 Governador Eugênio Barros";6
"210465 Governador Newton Bello";4
"210467 Governador Nunes Freire";9
"210480 Grajaú";37
"210490 Guimarães";3
"210500 Humberto de Campos";1
"210510 Icatu";1
"210515 Igarapé do Meio";3
"210520 Igarapé Grande";2
"210530 Imperatriz";55
"210535 Itaipava do Grajaú";5
"210540 Itapecuru Mirim";13
"210542 Itinga do Maranhão";5
"210547 Jenipapo dos Vieiras";10
"210550 João Lisboa";5
"210560 Joselândia";3
"210565 Junco do Maranhão";1
"210570 Lago da Pedra";13
"210594 Lago dos Rodrigues";1
"210590 Lago Verde";1
"210592 Lagoa do Mato";1
"210596 Lagoa Grande do Maranhão";1
"210598 Lajeado Novo";1
"210600 Lima Campos";5
"210610 Loreto";2
"210620 Luís Domingues";3
"210630 Magalhães de Almeida";6
"210632 Maracaçumé";2
"210635 Marajá do Sena";2
"210637 Maranhãozinho";3
"210640 Mata Roma";5
"210650 Matinha";12
"210660 Matões";8
"210663 Matões do Norte";1
"210670 Mirador";6
"210675 Miranda do Norte";5
"210680 Mirinzal";3
"210690 Monção";8
"210700 Montes Altos";1
"210710 Morros";5
"210720 Nina Rodrigues";2
"210725 Nova Colinas";1
"210730 Nova Iorque";1
"210735 Nova Olinda do Maranhão";2
"210740 Olho d'Água das Cunhãs";2
"210745 Olinda Nova do Maranhão";2
"210750 Paço do Lumiar";25
"210760 Palmeirândia";4
"210770 Paraibano";2
"210780 Parnarama";7
"210790 Passagem Franca";1
"210800 Pastos Bons";3
"210805 Paulino Neves";4
"210810 Paulo Ramos";3
"210820 Pedreiras";8
"210825 Pedro do Rosário";8
"210830 Penalva";12
"210840 Peri Mirim";1
"210845 Peritoró";3
"210850 Pindaré-Mirim";3
"210860 Pinheiro";28
"210870 Pio XII";2
"210880 Pirapemas";6
"210890 Poção de Pedras";2
"210900 Porto Franco";7
"210905 Porto Rico do Maranhão";1
"210910 Presidente Dutra";13
"210923 Presidente Médici";2
"210927 Presidente Sarney";10
"210930 Presidente Vargas";4
"210940 Primeira Cruz";4
"210945 Raposa";5
"210950 Riachão";3
"210955 Ribamar Fiquene";4
"210960 Rosário";15
"210975 Santa Filomena do Maranhão";1
"210980 Santa Helena";6
"210990 Santa Inês";21
"211000 Santa Luzia";19
"211003 Santa Luzia do Paruá";5
"211010 Santa Quitéria do Maranhão";4
"211020 Santa Rita";14
"211023 Santana do Maranhão";1
"211027 Santo Amaro do Maranhão";4
"211030 Santo Antônio dos Lopes";2
"211040 São Benedito do Rio Preto";8
"211050 São Bento";7
"211060 São Bernardo";5
"211065 São Domingos do Azeitão";3
"211070 São Domingos do Maranhão";5
"211085 São Francisco do Brejão";1
"211090 São Francisco do Maranhão";2
"211100 São João Batista";5
"211102 São João do Carú";5
"211105 São João do Paraíso";2
"211107 São João do Soter";1
"211110 São João dos Patos";6
"211120 São José de Ribamar";48
"211125 São José dos Basílios";2
"211130 São Luís";251
"211140 São Luís Gonzaga do Maranhão";6
"211150 São Mateus do Maranhão";13
"211153 São Pedro da Água Branca";1
"211157 São Pedro dos Crentes";1
"211160 São Raimundo das Mangabeiras";5
"211163 São Raimundo do Doca Bezerra";1
"211170 São Vicente Ferrer";4
"211172 Satubinha";3
"211174 Senador Alexandre Costa";5
"211176 Senador La Rocque";5
"211178 Serrano do Maranhão";2
"211180 Sítio Novo";3
"211190 Sucupira do Norte";2
"211210 Timbiras";5
"211220 Timon";45
"211223 Trizidela do Vale";7
"211230 Tuntum";7
"211240 Turiaçu";12
"211245 Turilândia";3
"211250 Tutóia";10
"211260 Urbano Santos";10
"211270 Vargem Grande";14
"211280 Viana";16
"211285 Vila Nova dos Martírios";2
"211290 Vitória do Mearim";11
"211300 Vitorino Freire";6
"211400 Zé Doca";10
"210000 Município ignorado - MA";8
"220005 Acauã";2
"220010 Agricolândia";1
"220020 Água Branca";7
"220025 Alagoinha do Piauí";1
"220027 Alegrete do Piauí";2
"220030 Alto Longá";1
"220040 Altos";12
"220045 Alvorada do Gurguéia";2
"220050 Amarante";6
"220060 Angical do Piauí";3
"220070 Anísio de Abreu";1
"220090 Aroazes";1
"220100 Arraial";1
"220105 Assunção do Piauí";3
"220115 Baixa Grande do Ribeiro";3
"220117 Barra D'Alcântara";1
"220120 Barras";7
"220140 Barro Duro";2
"220150 Batalha";6
"220155 Bela Vista do Piauí";2
"220160 Beneditinos";1
"220170 Bertolínia";4
"220173 Betânia do Piauí";1
"220177 Boa Hora";1
"220180 Bocaina";1
"220190 Bom Jesus";8
"220191 Bom Princípio do Piauí";1
"220198 Brejo do Piauí";1
"220200 Buriti dos Lopes";2
"220202 Buriti dos Montes";1
"220205 Cabeceiras do Piauí";2
"220207 Cajazeiras do Piauí";1
"220208 Cajueiro da Praia";3
"220211 Campo Alegre do Fidalgo";1
"220213 Campo Grande do Piauí";2
"220220 Campo Maior";7
"220225 Canavieira";1
"220230 Canto do Buriti";4
"220240 Capitão de Campos";3
"220245 Capitão Gervásio Oliveira";1
"220250 Caracol";3
"220253 Caraúbas do Piauí";1
"220255 Caridade do Piauí";1
"220260 Castelo do Piauí";4
"220265 Caxingó";3
"220270 Cocal";3
"220273 Coivaras";3
"220275 Colônia do Gurguéia";3
"220277 Colônia do Piauí";1
"220280 Conceição do Canindé";2
"220290 Corrente";5
"220300 Cristalândia do Piauí";3
"220310 Cristino Castro";2
"220320 Curimatá";2
"220323 Currais";1
"220327 Curral Novo do Piauí";2
"220325 Curralinhos";3
"220330 Demerval Lobão";3
"220335 Dirceu Arcoverde";1
"220340 Dom Expedito Lopes";1
"220345 Dom Inocêncio";4
"220342 Domingos Mourão";4
"220350 Elesbão Veloso";1
"220360 Eliseu Martins";1
"220370 Esperantina";11
"220375 Fartura do Piauí";2
"220380 Flores do Piauí";1
"220390 Floriano";11
"220400 Francinópolis";2
"220410 Francisco Ayres";1
"220415 Francisco Macedo";2
"220420 Francisco Santos";2
"220430 Fronteiras";7
"220435 Geminiano";1
"220440 Gilbués";2
"220450 Guadalupe";2
"220455 Guaribas";1
"220465 Ilha Grande";5
"220470 Inhuma";5
"220480 Ipiranga do Piauí";7
"220490 Isaías Coelho";3
"220500 Itainópolis";2
"220510 Itaueira";1
"220520 Jaicós";5
"220525 Jardim do Mulato";2
"220540 Joaquim Pires";3
"220545 Joca Marques";2
"220550 José de Freitas";18
"220551 Juazeiro do Piauí";1
"220552 Júlio Borges";3
"220555 Lagoa Alegre";1
"220557 Lagoa de São Francisco";2
"220556 Lagoa do Barro do Piauí";1
"220558 Lagoa do Piauí";1
"220570 Luís Correia";6
"220580 Luzilândia";6
"220585 Madeiro";3
"220590 Manoel Emídio";1
"220595 Marcolândia";4
"220600 Marcos Parente";3
"220605 Massapê do Piauí";1
"220610 Matias Olímpio";1
"220620 Miguel Alves";4
"220635 Milton Brandão";1
"220640 Monsenhor Gil";5
"220650 Monsenhor Hipólito";1
"220660 Monte Alegre do Piauí";3
"220665 Morro Cabeça no Tempo";1
"220667 Morro do Chapéu do Piauí";1
"220669 Murici dos Portelas";4
"220670 Nazaré do Piauí";4
"220672 Nazária";1
"220695 Novo Santo Antônio";1
"220700 Oeiras";4
"220720 Padre Marcos";2
"220735 Pajeú do Piauí";2
"220740 Palmeira do Piauí";3
"220750 Palmeirais";4
"220755 Paquetá";3
"220770 Parnaíba";35
"220777 Patos do Piauí";2
"220779 Pau D'Arco do Piauí";1
"220780 Paulistana";8
"220790 Pedro II";12
"220793 Pedro Laurentino";1
"220800 Picos";16
"220810 Pimenteiras";4
"220820 Pio IX";5
"220830 Piracuruca";8
"220840 Piripiri";10
"220850 Porto";3
"220865 Queimada Nova";1
"220870 Redenção do Gurguéia";3
"220880 Regeneração";4
"220887 Ribeira do Piauí";4
"220915 Santa Cruz dos Milagres";1
"220920 Santa Filomena";1
"220930 Santa Luz";3
"220937 Santa Rosa do Piauí";1
"220940 Santo Antônio de Lisboa";2
"220950 Santo Inácio do Piauí";1
"220965 São Francisco de Assis do Piauí";1
"220970 São Francisco do Piauí";1
"220980 São Gonçalo do Piauí";2
"220987 São João da Fronteira";1
"220990 São João da Serra";1
"220997 São João do Arraial";3
"221000 São João do Piauí";6
"221005 São José do Divino";1
"221020 São José do Piauí";1
"221030 São Julião";1
"221039 São Miguel do Fidalgo";3
"221040 São Miguel do Tapuio";3
"221050 São Pedro do Piauí";2
"221060 São Raimundo Nonato";16
"221062 Sebastião Barros";2
"221065 Sigefredo Pacheco";1
"221070 Simões";1
"221080 Simplício Mendes";5
"221100 Teresina";195
"221110 União";4
"221120 Uruçuí";10
"221130 Valença do Piauí";2
"221140 Várzea Grande";2
"221150 Vera Mendes";2
"230015 Acarape";8
"230020 Acaraú";18
"230030 Acopiara";8
"230040 Aiuaba";3
"230050 Alcântaras";3
"230070 Alto Santo";1
"230075 Amontada";9
"230080 Antonina do Norte";3
"230100 Aquiraz";17
"230110 Aracati";9
"230120 Aracoiaba";5
"230125 Ararendá";5
"230130 Araripe";7
"230140 Aratuba";1
"230150 Arneiroz";2
"230160 Assaré";4
"230170 Aurora";5
"230185 Banabuiú";2
"230190 Barbalha";15
"230195 Barreira";1
"230200 Barro";2
"230205 Barroquinha";3
"230210 Baturité";6
"230220 Beberibe";9
"230230 Bela Cruz";4
"230240 Boa Viagem";7
"230250 Brejo Santo";13
"230260 Camocim";13
"230270 Campos Sales";3
"230280 Canindé";20
"230290 Capistrano";6
"230300 Caridade";2
"230310 Cariré";3
"230320 Caririaçu";3
"230330 Cariús";1
"230340 Carnaubal";4
"230350 Cascavel";11
"230365 Catunda";4
"230370 Caucaia";68
"230380 Cedro";7
"230390 Chaval";5
"230393 Choró";6
"230395 Chorozinho";2
"230400 Coreaú";7
"230410 Crateús";17
"230420 Crato";23
"230423 Croatá";5
"230425 Cruz";7
"230428 Eusébio";7
"230430 Farias Brito";2
"230435 Forquilha";11
"230440 Fortaleza";410
"230445 Fortim";8
"230450 Frecheirinha";2
"230460 General Sampaio";3
"230470 Granja";8
"230490 Groaíras";1
"230495 Guaiúba";5
"230500 Guaraciaba do Norte";11
"230520 Hidrolândia";1
"230523 Horizonte";10
"230526 Ibaretama";4
"230530 Ibiapina";3
"230533 Ibicuitinga";1
"230540 Icó";7
"230550 Iguatu";17
"230560 Independência";7
"230565 Ipaporanga";1
"230570 Ipaumirim";2
"230580 Ipu";12
"230590 Ipueiras";6
"230600 Iracema";1
"230610 Irauçuba";6
"230620 Itaiçaba";1
"230625 Itaitinga";9
"230630 Itapagé";5
"230640 Itapipoca";29
"230650 Itapiúna";4
"230655 Itarema";6
"230660 Itatira";9
"230670 Jaguaretama";1
"230680 Jaguaribara";2
"230690 Jaguaribe";5
"230700 Jaguaruana";2
"230710 Jardim";5
"230725 Jijoca de Jericoacoara";5
"230730 Juazeiro do Norte";64
"230740 Jucás";6
"230750 Lavras da Mangabeira";2
"230760 Limoeiro do Norte";10
"230763 Madalena";3
"230765 Maracanaú";41
"230770 Maranguape";18
"230780 Marco";3
"230790 Martinópole";1
"230800 Massapê";10
"230810 Mauriti";12
"230820 Meruoca";3
"230835 Milhã";5
"230837 Miraíma";3
"230840 Missão Velha";12
"230850 Mombaça";10
"230860 Monsenhor Tabosa";7
"230870 Morada Nova";5
"230880 Moraújo";4
"230890 Morrinhos";7
"230900 Mucambo";3
"230910 Mulungu";1
"230920 Nova Olinda";6
"230930 Nova Russas";6
"230940 Novo Oriente";5
"230945 Ocara";3
"230950 Orós";1
"230960 Pacajus";14
"230970 Pacatuba";9
"231000 Palhano";3
"231020 Paracuru";5
"231025 Paraipaba";6
"231030 Parambu";3
"231040 Paramoti";1
"231050 Pedra Branca";7
"231060 Penaforte";2
"231070 Pentecoste";9
"231080 Pereiro";2
"231085 Pindoretama";4
"231090 Piquet Carneiro";1
"231100 Poranga";1
"231110 Porteiras";3
"231123 Potiretama";1
"231126 Quiterianópolis";4
"231130 Quixadá";12
"231135 Quixelô";4
"231140 Quixeramobim";21
"231150 Quixeré";3
"231160 Redenção";4
"231170 Reriutaba";9
"231180 Russas";11
"231190 Saboeiro";2
"231195 Salitre";5
"231220 Santa Quitéria";8
"231200 Santana do Acaraú";6
"231210 Santana do Cariri";1
"231230 São Benedito";6
"231240 São Gonçalo do Amarante";12
"231250 São João do Jaguaribe";1
"231260 São Luís do Curu";1
"231270 Senador Pompeu";4
"231290 Sobral";32
"231300 Solonópole";5
"231310 Tabuleiro do Norte";4
"231320 Tamboril";8
"231325 Tarrafas";1
"231330 Tauá";7
"231335 Tejuçuoca";4
"231340 Tianguá";18
"231350 Trairi";9
"231355 Tururu";4
"231360 Ubajara";12
"231370 Umari";1
"231375 Umirim";5
"231380 Uruburetama";4
"231390 Uruoca";4
"231395 Varjota";4
"231400 Várzea Alegre";6
"231410 Viçosa do Ceará";14
"240020 Açu";10
"240030 Afonso Bezerra";2
"240050 Alexandria";2
"240070 Alto do Rodrigues";1
"240090 Antônio Martins";2
"240100 Apodi";8
"240110 Areia Branca";6
"240120 Arês";2
"240140 Baía Formosa";1
"240145 Baraúna";4
"240165 Bodó";1
"240170 Bom Jesus";1
"240180 Brejinho";4
"240200 Caicó";10
"240210 Campo Redondo";3
"240220 Canguaretama";4
"240230 Caraúbas";3
"240240 Carnaúba dos Dantas";2
"240260 Ceará-Mirim";15
"240270 Cerro Corá";2
"240300 Cruzeta";1
"240310 Currais Novos";7
"240330 Encanto";2
"240340 Equador";1
"240350 Espírito Santo";1
"240360 Extremoz";16
"240370 Felipe Guerra";1
"240380 Florânia";1
"240410 Galinhos";1
"240420 Goianinha";4
"240430 Governador Dix-Sept Rosado";1
"240450 Guamaré";1
"240460 Ielmo Marinho";2
"240470 Ipanguaçu";3
"240485 Itajá";2
"240500 Jaçanã";1
"240520 Janduís";1
"240530 Januário Cicco";1
"240550 Jardim de Angicos";3
"240570 Jardim do Seridó";2
"240580 João Câmara";3
"240590 João Dias";1
"240600 José da Penha";4
"240610 Jucurutu";4
"240630 Lagoa de Pedras";1
"240640 Lagoa de Velhos";2
"240650 Lagoa Nova";6
"240660 Lagoa Salgada";1
"240670 Lajes";2
"240680 Lajes Pintadas";1
"240700 Luís Gomes";2
"240710 Macaíba";12
"240720 Macau";4
"240725 Major Sales";1
"240730 Marcelino Vieira";3
"240750 Maxaranguape";2
"240760 Messias Targino";1
"240770 Montanhas";4
"240780 Monte Alegre";3
"240800 Mossoró";40
"240810 Natal";135
"240820 Nísia Floresta";3
"240830 Nova Cruz";7
"240860 Paraná";2
"240880 Parazinho";2
"240890 Parelhas";5
"240325 Parnamirim";47
"240910 Passa e Fica";3
"240930 Patu";1
"240940 Pau dos Ferros";6
"240950 Pedra Grande";1
"240970 Pedro Avelino";2
"240980 Pedro Velho";1
"240990 Pendências";1
"241000 Pilões";2
"241010 Poço Branco";1
"241020 Portalegre";3
"241040 Pureza";2
"241050 Rafael Fernandes";2
"241070 Riacho da Cruz";1
"241090 Riachuelo";2
"241100 Rodolfo Fernandes";2
"241110 Ruy Barbosa";2
"241120 Santa Cruz";6
